ID_Cliente,Edad,Ingreso_Anual_COP,Gasto_Anual_COP,Nivel_Educacion
1,39,24271857.0,15313541,Profesional
2,33,23914628.0,5575971,Bachillerato
3,41,12223689.0,1000000,Bachillerato
4,50,25435664.0,5026097,Técnico
5,32,43276593.0,24804335,Profesional
6,32,15864458.0,7566889,Bachillerato
7,50,50675304.0,13585841,Profesional
8,42,38286019.0,21890363,Bachillerato
9,30,20781864.0,1460647,Bachillerato
10,40,27950429.0,18069921,Técnico
11,30,66710228.0,41169252,Posgrado
12,30,43292148.0,10834043,Bachillerato
13,37,30132044.0,14187593,Bachillerato
14,18,26638451.0,15696004,Profesional
15,18,31171428.0,11803043,Técnico
16,29,23227004.0,5498594,Profesional
17,24,10473231.0,4859102,Bachillerato
18,38,83286488.0,53851185,Profesional
19,25,32422735.0,18673012,Técnico
20,20,36608154.0,9667721,Profesional
21,49,29143838.0,11903968,Profesional
22,32,20772686.0,4369989,Profesional
23,35,27336837.0,11672876,Profesional
24,20,13483948.0,9497754,Posgrado
25,29,93666502.0,38750812,Técnico
26,36,16182677.0,7592280,Bachillerato
27,23,17907403.0,10334454,Profesional
28,38,24072443.0,10298603,Profesional
29,28,,13522311,Bachillerato
30,32,30218426.0,19177657,Profesional
31,28,16169544.0,9751019,
32,53,56169087.0,10927388,Profesional
33,34,43237046.0,20934911,Profesional
34,24,39268193.0,8317584,Profesional
35,43,42908266.0,24923969,Bachillerato
36,22,99323115.0,52725632,Profesional
37,37,89455816.0,17788328,Profesional
38,18,21281533.0,11363149,Bachillerato
39,21,,14424674,Profesional
40,36,36335000.0,24338013,Posgrado
41,42,38503351.0,11596479,Técnico
42,36,12872097.0,1000000,Bachillerato
43,33,27550054.0,1496338,Bachillerato
44,31,19981075.0,1000000,Profesional
45,20,45387048.0,24349429,Posgrado
46,27,51251128.0,17833640,Profesional
47,30,10632913.0,1000000,Técnico
48,45,29671291.0,6828331,Profesional
49,38,52569081.0,8787665,Profesional
50,18,27326526.0,13770722,Profesional
51,38,43195192.0,23342220,Bachillerato
52,31,35758217.0,5150890,Profesional
53,28,35588676.0,14849706,Técnico
54,41,26194249.0,3317737,Bachillerato
55,45,16328417.0,16328417,Profesional
56,44,17123166.0,13459882,Posgrado
57,26,42771570.0,29637822,Técnico
58,31,30293298.0,18372830,Posgrado
59,38,27992629.0,16173185,Bachillerato
60,44,24270275.0,10495965,Profesional
61,30,25754334.0,8950200,Bachillerato
62,33,50635518.0,20067770,Técnico
63,23,25370202.0,4286281,Profesional
64,23,15343087.0,10304307,Profesional
65,43,43511412.0,17029088,Profesional
66,48,27079014.0,2352715,Profesional
67,34,30474653.0,6752954,Profesional
68,45,67019695.0,25332297,Posgrado
69,38,29693171.0,9890576,Profesional
70,28,,17062932,Bachillerato
71,38,16638772.0,9631240,Bachillerato
72,50,26879466.0,14352944,Técnico
73,34,40689106.0,19381503,Profesional
74,50,13784027.0,3453790,Bachillerato
75,18,33169140.0,10363912,Bachillerato
76,43,31550609.0,9770434,Bachillerato
77,35,30625748.0,14018786,Profesional
78,32,50389198.0,17405113,Bachillerato
79,35,35460402.0,4459767,
80,18,62817476.0,32232658,Profesional
81,32,18254335.0,5968158,Profesional
82,38,32109748.0,14831516,
83,49,31294137.0,7013402,Profesional
84,29,17576629.0,4708734,Bachillerato
85,26,,13128894,Posgrado
86,29,95921872.0,7574167,Técnico
87,44,29745990.0,13128854,Posgrado
88,38,38617592.0,20522184,Posgrado
89,29,31294946.0,13813142,Profesional
90,40,20997534.0,11967688,Bachillerato
91,35,12071137.0,5288534,Profesional
92,44,21079703.0,7831021,Bachillerato
93,27,14957579.0,1000000,Posgrado
94,31,70333514.0,31460142,Profesional
95,31,28322103.0,13848617,Posgrado
96,20,25235146.0,9482843,Profesional
97,37,46794903.0,26439595,
98,37,17121274.0,4970382,Profesional
99,35,20445552.0,8802048,Técnico
100,32,31038659.0,20382729,Profesional
101,20,50178260.0,11673142,Profesional
102,30,38553230.0,9282140,Posgrado
103,31,33965997.0,18881925,Profesional
104,26,31194950.0,12027069,Posgrado
105,33,36646404.0,5158221,Posgrado
106,39,33182540.0,7990008,Profesional
107,53,17925266.0,6590474,Técnico
108,36,30699212.0,13625988,Profesional
109,37,17537703.0,8149274,Técnico
110,34,31241228.0,18274567,Bachillerato
111,18,23591191.0,19600455,Técnico
112,34,106792552.0,38508271,Posgrado
113,35,29407513.0,18190738,Bachillerato
114,59,14866012.0,7324920,Profesional
115,33,28053328.0,2484645,Profesional
116,38,38895429.0,7498294,
